Row Labels,RUTA 101,RUTA RUTA 10202,RUTA RUTA 10303,RUTA RUTA 10404,RUTA RUTA 10505,RUTA RUTA 10606,RUTA RUTA 10707,RUTA RUTA 10808,RUTA RUTA RUTA 1090909,RUTA RUTA 110RUTA 1100,RUTA RUTA 111RUTA 111RUTA 111,RUTA RUTA 112RUTA 1122,RUTA RUTA 113RUTA 1133,RUTA RUTA 114RUTA 1144,RUTA RUTA 115RUTA 1155,RUTA RUTA 116RUTA 1166,RUTA RUTA 117RUTA 1177,RUTA RUTA 118RUTA 1188,RUTA RUTA 119RUTA 1199,RUTA RUTA 12020,RUTA RUTA 12323,RUTA RUTA 12525,RUTA RUTA 13333,RUTA RUTA 15454,RUTA RUTA 15858,RUTA RUTA 15959,RUTA RUTA 16464,RUTA RUTA 16565,RUTA RUTA 16767,RUTA RUTA 16868,RUTA RUTA 17070,RUTA RUTA 17272,RUTA RUTA 17575,RUTA RUTA 19595,RUTA 2RUTA 2100,RUTA 26RUTA 261-MR4-MR4,RUTA 262,RUTA 266,RUTA 6,RUTA LOS VANEGAS
GANCHO DE CAMINO,,RUTA 102,,,,,RUTA 107,,,,RUTA 111,,,,,,,RUTA 118,,,,,,,RUTA 158,,RUTA 164,,,,,,,RUTA 195,,,,,,
GIMNACIO ALEXIS ARGUELLO,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL ALEMAN,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL BERTHA CALDERON,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL CRUZ AZUL MANAGUA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
HOSPITAL LENIN FONSECA,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
HOSPITAL LENNIN FONSECA,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL MANOLO MORALES,,,,RUTA 104,,RUTA 106,,,,,,,,,,,RUTA 117,,RUTA 119,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
HOSPITAL SALUD INTEGRAL,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOSPITAL VELEZ PAIZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
HOTEL CAMINO REAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
HOTEL ESTRELLA,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
HOTEL LAS COLINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
HUELLAS DE ACAHUALINCA,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGLESIA CATOLICA BELLO AMANECER,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
IGLESIA EL CARMEN,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGLESIA PIO X BELLO HORIZONTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
IGLESIA SANTA ANA,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,RUTA 159,,,,,,,,,,,,,,
INSTITUTO RAMIREZ GOLLENA,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
INSTITUTO RAMIREZ GOYENA,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
IVAN MONTENEGRO,,,,,,,,,,RUTA 110,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
JARDINES DE VERA CRUZ,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
JUZGADOS,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ANUNCIATURA,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA CEIBITA,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
LA CONTRALORIA,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 210,,,,,
LA LOTERIA,,,,,,,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
LA MORAZAN,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA NICARAO,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA PLAZA CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
LA PRENSA,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
LA RACACHACA ALTAGRACIA,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA ROCARGO KM 8 CARRETERA NORTE,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA SIEMENS,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
LA SUBASTA,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
LA TENDERI,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
LA TIENDONA,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
LA VUELTA DE LA UNO CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,RUTA 172,,,,,,,,
LARREYNAGA FERRETERIA TOBIE,,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,,,,,,,,,,,
LAS AMERICAS DOS,,,,,,,,,,,,,,RUTA 114,,,RUTA 117,,,,,,,,,,,,,,RUTA 170,,,,,,,,,
LAS AMERICAS TRES,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
LAS BRISAS,RUTA 101,,,,,,,,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS BRISAS ,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS JAGUITAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
LAS MERCEDES,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
LAS PIEDRECITAS,,,,,,RUTA 106,,,,RUTA 110,,,RUTA 113,RUTA 114,,,,,,,,RUTA 125,,,,,,,,,,RUTA 172,,,RUTA 210,,,,,
LIBRERÍA CASA DE LA BIBLIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
LINDA VISTA,,,,,,,,,,,,,,RUTA 114,RUTA 115,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
LOMA DE TISCAPA,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
LOMAS DE GUADALUPE,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
LOMAS DE GUADALUPE O SEMAFAROS DEL SEMINARIO,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOS BRASILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 172,,,,,,,,
LOS CHILAMATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 172,,,RUTA 210,,,,,
LOS LAURELES SUR,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOZELSA,,,,,,,,,,RUTA 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MALECON,,,,,,,,,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
MARIA AUXILIADORA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
MAYOREO,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDICINA LEGAL,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 167,,,,,,,,,,,
MERCADO  MAYOREO,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
MERCADO CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 210,,,,,
MERCADO EL MAYOREO,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MERCADO ISRAEL LEWITE,,,,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
MERCADO ISRAEL LEWITES,,,RUTA 103,,,RUTA 106,,,,,,,,,,,,,,,,RUTA 125,,RUTA 154,RUTA 158,,,,,,,,RUTA 175,,RUTA 210,,,,,
MERCADO IVAN MONTENEGRO,RUTA 101,RUTA 102,RUTA 103,,,RUTA 106,,,,,,,,,,RUTA 116,RUTA 117,RUTA 118,,,,,,,,,,,,RUTA 168,,,,RUTA 195,,,,,,
MERCADO MAYOREO,RUTA 101,,,,,,,,,RUTA 110,RUTA 111,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
MERCADO ORIENTAL,,,,RUTA 104,,,,RUTA 108,RUTA 109,,,,RUTA 113,,RUTA 115,,,,,,,,,,,RUTA 159,,,,,RUTA 170,,,,,,,,,RUTA LOS VANEGAS
MERCADO ORIENTAL POR ENABAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
MERCADO ROBERTO HUEMBES,,,,RUTA 104,,RUTA 106,,RUTA 108,,,,,,,,,RUTA 117,,,,RUTA 123,,,,,RUTA 159,RUTA 164,RUTA 165,,,,,,RUTA 195,,RUTA 261-MR4,RUTA 262,,,
METROCENTRO,,RUTA 102,,,RUTA 105,,,,,RUTA 110,RUTA 111,,,RUTA 114,,,,,,RUTA 120,,,,,,,,,,,,,,RUTA 195,,,,,,RUTA LOS VANEGAS
MIGRACION,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,RUTA 154,,,,,,,,,,,,,,,RUTA 6,
MIGUEL GUTIERREZ,,,,,,,,,,RUTA 110,,,,,,,,,RUTA 119,RUTA 120,,,,RUTA 154,,,,,,,,,,,,,,,,
MINISTERIO DE DEFENSA ANTIGUA MANSION LUIS SOMOZA,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MINISTERIO DEL TRABAJO,RUTA 101,,,,,,,,,,,,,,,,,,,,RUTA 123,,RUTA 133,,,,,,,,,,,RUTA 195,,,,,,
MINISTERIO GOBERNACION,,,,,,,RUTA 107,,RUTA 109,,,,RUTA 113,,,,,,,,,,,RUTA 154,,,,,,,,,,,,RUTA 261-MR4,,,,
MINISTERIO TRABAJO,,,,,,,,,,,,RUTA 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONS LEZCANO,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
MONS. LEZCANO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
MONTOYA,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,RUTA 154,,,,,,,,,,,,,,,,
NICARAO,RUTA 101,,,,,,,,,,,,,,,,RUTA 117,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
NIGHT CLUB VEINTISIETE DE MAYO,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUEVE DE JUNIO,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUEVO DIARIO,,,,,,,,,,,,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
OPTICA MATAMOROS,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
OPTICA NICARAGUENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
PAJARITO AZUL KM 10 CARRETERA NUEVA LEON,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
PALI NORTE,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARMALAT,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
PARQUE LA PAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,,,,,,,,,
PARQUE MONS. LEZCANO,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARQUE SALVADORITA,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASEO TISCAPA,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASO A DESNIVEL C. NORTE,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
PASO A DESNIVEL CARRETERA NORTE,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PASO DESNIVEL C. NORTE,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
PERIFERICO,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 159,,,,,,,,,,,,,,
PIEDRECITAS,,,RUTA 103,,,,,,,,,,,,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
PISTA ACAHUALINCA,,,,,,,,,,,,RUTA 112,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAZA EL EDEN,,,,,,,,,,,RUTA 111,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAZA EL SOL,,RUTA 102,RUTA 103,,RUTA 105,,,,,,RUTA 111,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
PLAZA ESPAÑA,,,,,,,,,,,,,,,,,,RUTA 118,RUTA 119,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
PLAZA INTER,RUTA 101,,,,,,RUTA 107,,RUTA 109,,,,RUTA 113,,,RUTA 116,,RUTA 118,,,,,,RUTA 154,,,,,RUTA 167,,,,,,,RUTA 261-MR4,,,,
PLAZA JULIO MARTINEZ,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLAZA LOS CABROS CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 210,,,,,
PRICESMART,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
PRIMERO MAYO,RUTA 101,,,,,,,,,RUTA 110,,,,,,,RUTA 117,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
PUENTE COLONIA ALEMANA,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
PUENTE EL EDEN,,,,,,,,,,,,,,,,,,RUTA 118,,RUTA 120,,,,,,RUTA 159,,,,,,,,,,,,,,
PUENTE LAREYNAGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
PUENTE LAREYNAGA FERRETERIA TOBIE,,,RUTA 103,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUENTE LEON,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
PUENTE VILLA LIBERTAD,,,RUTA 103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGISTRO DE LA PROPIEDAD,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
REPARTO EL CARMEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
RESIDENCIAL EL DORADO,,,,,,,,,RUTA 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESIDENCIAL SAN ANDRES,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
RESTAURANTE MUNICH,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERTO HUEMBES,,,,,,,,,RUTA 109,RUTA 110,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
ROCARGO,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROTONDA BELLO HORIZONTE,,RUTA 102,,,RUTA 105,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
ROTONDA CENTRO AMERICA,,,,,,RUTA 106,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,RUTA LOS VANEGAS
ROTONDA CRISTO REY,,RUTA 102,RUTA 103,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
ROTONDA EL GUEGUENSE,,RUTA 102,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
ROTONDA EL PERIODISTA,,,,RUTA 104,,RUTA 106,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,RUTA 195,RUTA 210,,,,,
ROTONDA LA VIRGEN,,,,,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
ROTONDA METRO CENTRO,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,RUTA 168,,,,,RUTA 210,,,,,
ROTONDA PERIODISTA,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
ROTONDA SANTO DOMINGO,,,,RUTA 104,,,,,,RUTA 110,,,,RUTA 114,,,,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
ROTONDA UNIVERSITARIA,,,,,,RUTA 106,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
RUBENIA,,,RUTA 103,,,,,,,RUTA 110,,,,,,RUTA 116,RUTA 117,RUTA 118,,,,,,,,,,,,,,,,,,,,,,
RUCFA,,,,RUTA 104,,,RUTA 107,,,,RUTA 111,,RUTA 113,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUPAP,,RUTA 102,,RUTA 104,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
SAN JOSE ORIENTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 195,,,,,,
SAN JUDAS,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,,RUTA 158,,,,,,,,,,,,,,,
SEMAFARO DE LA TENDERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
SEMAFARO EL GUANACASTE,,,,,,,,,,,,,RUTA 113,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFARO MONTOYA,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,,,,,,,,,
SEMAFARO TENDERI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
SEMAFAROS ASAMBLEA NACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 164,,,,,RUTA 172,,,,,,,,
SEMAFAROS CIUDAD JARDIN,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 262,,,
SEMAFAROS CLUB VEITISIETE DE MAYO,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS DE LA TENDERI,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
SEMAFAROS DEL COLONIAL,RUTA 101,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS DEL MILITAR,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS EL COLONIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
SEMAFAROS EL DORADO,,,RUTA 103,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS EL GUANACASTE,,,,,,,RUTA 107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS EL NUEVO DIARIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 165,,,,,,,,,,,,
SEMAFAROS ENEL,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS ENEL CENTRAL,,,,,,RUTA 106,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS GUANACASTE,,,,,,,,,,,,,,,,,,,,,,RUTA 125,,,,,,,,,,RUTA 172,,,,,,,,
SEMAFAROS JONATHAN GONZALES O SEMAFAROS DEL MILITAR,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS LA CEIBITA,,RUTA 102,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
SEMAFAROS LA REYNAGA FERRETERIA TOBIE,,RUTA 102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS LA SEIBITA,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS LINDA VISTA,RUTA 101,,,,,,,,,,,RUTA 112,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
SEMAFAROS MEMORIAL SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 175,,,,,,,
SEMAFAROS NIGHT CLUB VEINTISIETE DE MAYO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
SEMAFAROS RUBENIA,,,,RUTA 104,,,,,,,,,,,,,,,,,RUTA 123,,,,,,,,,,,,,,,,,,,
SEMAFAROS SEMINARIO,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,RUTA 175,,,,,,,
SEMAFAROS VILLA FONTANA,,,,,,,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
SEMAFAROS VILLA PROGRESO,,RUTA 102,,RUTA 104,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
SEMINARIO,,,,,,,,,,RUTA 110,,,,,,,,RUTA 118,,RUTA 120,,,,,,,,,,,,,,,,,,,,
SHELL WASPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 170,,,,,,,RUTA 266,,
SIEMENS,,,,RUTA 104,,,,,,,,,,,,,,,,RUTA 120,,,,,,,,,,,,,,,,,,,,
SIETE SUR,,,RUTA 103,,,RUTA 106,,,,RUTA 110,,RUTA 112,,RUTA 114,,,,,,RUTA 120,RUTA 123,RUTA 125,,RUTA 154,,,,,,,,,,,RUTA 210,,,,RUTA 6,
SUBASTA,,,,,RUTA 105,,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
SUPER COPY PERIFERICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 175,,,,,,,
SUPERMERCADO MILITAR,RUTA 101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TELCOR VILLA FONTANA,,,,,,RUTA 106,,,,,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
TEXACO,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
TEXACO GUANACASTE,,,,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
TOPE SUR BELLO HORIZONTE,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOPE SUR ROTONDA BELLO HORIZONTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 6,
TRANSNICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
UCA,,RUTA 102,RUTA 103,,RUTA 105,,,,,RUTA 110,RUTA 111,,,RUTA 114,,,RUTA 117,,RUTA 119,RUTA 120,,,,,,,,,,RUTA 168,,,,RUTA 195,RUTA 210,,,,,
ULAM,,,,,,,,RUTA 108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UNAN,,,,,,,,,,,RUTA 111,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
UNAN MANAGUA,,,,,,RUTA 106,,,,,,,,,,,,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
UNICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA LOS VANEGAS
UNICIT,,,,,,RUTA 106,,,,,RUTA 111,,,,,,RUTA 117,,,,,,,,,,,,,RUTA 168,,,,,,,,,,
UNIDAD DE PROPOSITO,,,,,RUTA 105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UPOLI,,RUTA 102,,RUTA 104,,,,,,,RUTA 111,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,RUTA 6,
UPONIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 167,,,,,,,,,,,
VALLE DORADO,,,,,,,,,,,,,,RUTA 114,,,,,,,,,,,,,,,,,,,,,,,,,,
VIA FRATERNIDAD,,,,,,,,,,,,,,,,,,,RUTA 119,,,,,,,,,,,,,,,,,,,,,
VILLA FRATERNIDAD,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA LIBERTAD,,,RUTA 103,,,,,,,,,,,,,RUTA 116,,,,,,,,,,,,,,,,,,,,,,,,
VILLA MIGUEL GUTIERREZ,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA RAFAELA HERRERA,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA RECONCILIACION,,,,,,,,,,RUTA 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VILLA ROMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 261-MR4,,,,
WASPAN,,,,,,,,,,RUTA 110,,,,,,,RUTA 117,,,,,,,,,,,,,,,,,,,,,,,
WASPAN NORTE,,,,RUTA 104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WASPAN SUR,,,,,,,,,,,RUTA 111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZONA 11 CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 172,,,,,,,,
ZONA FRANCA CERCA TIPITAPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 266,,
ZONA FRANCA ZARATOGA LOS BRASILES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 172,,,,,,,,
ZONA IV CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,RUTA 133,,,,,,,,,,,,,,,,,
ZONA VI CIUDAD SANDINO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUTA 210,,,,,
